Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 03/13  18:00:00,4127859.060216818,88081493.60119574,38427569.44673404,69106004.40578464,163503132.50658787,163503132.50658787,11028724.85885886 
 03/13  19:00:00,1958340.4626757093,80937610.7296756,39455915.84359869,59822356.05413629,161595383.58331303,161595383.58331303,10952457.444025869 
 03/13  20:00:00,2743423.736435976,74748909.53487639,26303943.895732467,59822356.05413629,158480547.15614829,158480547.1561483,6791184.0 
 03/13  21:00:00,3692432.2222469944,70744840.25063905,26303943.895732467,55180531.87831212,156944666.36741869,156944666.3674187,6791184.0 
 03/13  22:00:00,0.0,0.0,13151971.947866233,55180531.87831212,80271371.63626296,80271371.63626296,6791184.0 
 03/13  23:00:00,0.0,0.0,6575985.9739331169,55180531.87831212,73691760.40172555,73691760.40172553,6791184.0 
 03/13  24:00:00,0.0,0.0,4802369.727932371,44533202.00181078,58551584.40070834,58551584.40070834,6791184.0 
 03/14  01:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/14  02:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/14  03:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/14  04:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/14  05:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/14  06:00:00,7203996.255118238,103202809.14750496,10829279.40873432,55180531.87831212,114001462.96670723,114001462.9667072,6791184.0 
 03/14  07:00:00,40094253.45413087,66788423.320714477,39455915.84359869,95796493.41677365,248007790.18790997,248007790.18791003,6791184.0 
 03/14  08:00:00,11823017.423832413,127465282.74718258,118367747.53079611,204227663.7591693,356645436.545962,356645436.5459619,6791184.0 
 03/14  09:00:00,8699342.533387723,130493941.08870483,112197669.14960815,174055806.61631219,312318657.0614572,312318657.0614573,6791184.0 
 03/14  10:00:00,7591072.960546048,133450725.46820432,104344293.63509095,167093070.35257594,293961891.56298688,293961891.56298688,15969716.334522762 
 03/14  11:00:00,7111547.121035582,144047108.5338373,97613116.20945984,174055806.61631219,291243219.6088178,291243219.6088178,25843443.304253363 
 03/14  12:00:00,19685044.57164811,139137776.65503479,97094042.22625035,177667514.30607478,318184683.7707308,318184683.77073088,31788411.45010167 
 03/14  13:00:00,5138509.193108276,154895115.63016839,95483249.06971143,179858086.8360924,293396432.96240016,293396432.96240016,30022372.42853214 
 03/14  14:00:00,4580654.452881874,151618998.8053797,95914579.61835216,167093070.35257594,279402866.5723142,279402866.57231429,17080751.714081624 
 03/14  15:00:00,4068708.649287457,154096525.5635345,97613116.20945984,167093070.35257594,280694799.6318366,280694799.6318366,20197293.603205265 
 03/14  16:00:00,4027381.671201995,162384274.08867917,100498840.96907294,177537174.74818034,294197460.9635611,294197460.96356108,25570255.99101689 
 03/14  17:00:00,16011782.948187534,135820172.2062434,60078452.269758779,140923939.57316489,247383435.30632759,247383435.30632765,11136916.233628367 
 03/14  18:00:00,518003.36449712185,108418881.45455346,38427569.44673404,69106004.40578464,151202315.82631976,151202315.82631976,15282158.754189328 
 03/14  19:00:00,834886.5920553894,101366689.1057178,39455915.84359869,59822356.05413629,151685921.68648923,151685921.68648926,6791184.0 
 03/14  20:00:00,1306745.143006293,94968817.42521104,26303943.895732467,59822356.05413629,149567922.02917577,149567922.02917577,10955410.28253173 
 03/14  21:00:00,1719212.0012942439,91047663.86002755,26303943.895732467,55180531.87831212,147681291.72150133,147681291.72150136,6791184.0 
 03/14  22:00:00,0.0,0.0,13151971.947866233,55180531.87831212,80271371.63626296,80271371.63626296,6791184.0 
 03/14  23:00:00,0.0,0.0,6575985.9739331169,55180531.87831212,73691760.40172555,73691760.40172553,6791184.0 
 03/14  24:00:00,0.0,0.0,4802369.727932371,44533202.00181078,58551584.40070834,58551584.40070834,6791184.0 
 03/15  01:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/15  02:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/15  03:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/15  04:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/15  05:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/15  06:00:00,3528728.241057649,114721536.24410862,10829279.40873432,55180531.87831212,107600860.704718,107600860.70471798,6791184.0 
 03/15  07:00:00,32526088.485762374,77787735.61990215,39356252.090636748,95796493.41677365,235902058.84966947,235902058.84966953,6791184.0 
 03/15  08:00:00,9448798.727994409,138184606.17600525,104401531.40757674,204227663.7591693,337583382.1857656,337583382.18576559,6791184.0 
 03/15  09:00:00,5818023.855888955,145936498.5802228,93685415.7642465,174055806.61631219,285485697.14532569,285485697.14532569,6791184.0 
 03/15  10:00:00,4292150.851585528,152515470.26943226,93124323.85391507,167093070.35257594,274307091.277208,274307091.277208,15970702.964068696 
 03/15  11:00:00,4337577.595988585,165377791.57404135,93124323.85391507,174055806.61631219,282629715.2363559,282629715.23635599,25835644.924235099 
 03/15  12:00:00,10485485.874213176,170327460.9328282,93124323.85391507,177667514.30607478,301741327.8172519,301741327.8172519,31820290.92983035 
 03/15  13:00:00,4379822.049938185,183969871.69056735,93124323.85391507,179858086.8360924,298062042.5157106,298062042.5157106,26508209.663365693 
 03/15  14:00:00,4297101.854702179,185622035.74199296,93124323.85391507,167093070.35257594,290540904.70092639,290540904.7009263,20276938.142280915 
 03/15  15:00:00,3795118.7747229004,192197581.5297776,93124323.85391507,167093070.35257594,299078007.9419932,299078007.94199326,20195889.925688454 
 03/15  16:00:00,3185345.652469404,204420806.81535537,93124323.85391507,177537174.74818034,321454171.7261528,321454171.72615268,20868834.447690298 
 03/15  17:00:00,217960.62944189108,198267155.26416645,51735735.47439728,140923939.57316489,250978246.7148472,250978246.71484725,15539450.409561329 
 03/15  18:00:00,0.0,184944723.3926165,31719373.84252765,69106004.40578464,164342505.94391448,164342505.94391448,15303211.452417572 
 03/15  19:00:00,0.0,173759727.81996913,38196227.104318518,59822356.05413629,168194892.08960945,168194892.0896094,6791184.0 
 03/15  20:00:00,0.0,155348702.24337725,26303943.895732467,59822356.05413629,154438845.67874555,154438845.67874555,10949280.567145272 
 03/15  21:00:00,0.0,139595156.9493095,26303943.895732467,55180531.87831212,133705452.43811475,133705452.43811475,6791184.0 
 03/15  22:00:00,0.0,0.0,13151971.947866233,55180531.87831212,80271371.63626296,80271371.63626294,6791184.0 
 03/15  23:00:00,0.0,0.0,6575985.9739331169,55180531.87831212,73691760.40172555,73691760.40172553,6791184.0 
 03/15  24:00:00,0.0,0.0,4802369.727932371,44533202.00181078,58551584.40070834,58551584.40070834,6791184.0 
 03/16  01:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/16  02:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/16  03:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/16  04:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/16  05:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/16  06:00:00,2021040.3162707044,132450672.2337619,10829279.40873432,55180531.87831212,96442874.70144196,96442874.70144193,6791184.0 
 03/16  07:00:00,22248676.30904191,100558462.2862337,39455915.84359869,95796493.41677365,207685737.45327626,207685737.45327626,6791184.0 
 03/16  08:00:00,7469877.1264843069,154287200.39023353,115282708.34020213,204227663.7591693,340524059.6808488,340524059.6808488,6791184.0 
 03/16  09:00:00,4149196.7385040398,155732423.49426953,100426319.16126514,174055806.61631219,289842803.5457264,289842803.5457264,6791184.0 
 03/16  10:00:00,2760526.2119289876,159081271.58413495,95425977.41658779,167093070.35257594,278108207.5494662,278108207.5494662,15970538.792397939 
 03/16  11:00:00,1627981.8433498957,168570854.6777888,93498385.12746936,174055806.61631219,287739357.0144767,287739357.0144767,25829385.435882026 
 03/16  12:00:00,10394717.3498695,169423427.64598299,93124323.85391507,177667514.30607478,307360364.46734407,307360364.4673441,29286516.53061874 
 03/16  13:00:00,627638.0894294347,179461091.70906563,93124323.85391507,179858086.8360924,297227340.1179907,297227340.1179906,28989760.53948137 
 03/16  14:00:00,215461.0716770454,176646047.61296905,93124323.85391507,167093070.35257594,286617353.8288381,286617353.8288381,20282125.76491471 
 03/16  15:00:00,17904.38952517943,181054873.24841849,93124323.85391507,167093070.35257594,295056557.06852987,295056557.06852987,18542780.569662438 
 03/16  16:00:00,37288.08025626931,193098267.90756158,94174029.85619702,177537174.74818034,323556546.38528326,323556546.3852832,22622305.463557427 
 03/16  17:00:00,712545.582577918,185533879.9261427,53441745.6776547,140923939.57316489,266519980.3398744,266519980.33987446,15470381.580624154 
 03/16  18:00:00,0.0,170684273.5882601,35379955.01937828,69106004.40578464,188542327.8913206,188542327.89132054,11046888.711110697 
 03/16  19:00:00,0.0,159750168.60681433,39455915.84359869,59822356.05413629,191619054.813025,191619054.813025,10951323.599251362 
 03/16  20:00:00,0.0,145208509.46667774,26303943.895732467,59822356.05413629,170269663.18593479,170269663.18593479,10954727.802636039 
 03/16  21:00:00,0.0,131533149.70207525,26303943.895732467,55180531.87831212,146909880.4080141,146909880.4080141,6791184.0 
 03/16  22:00:00,0.0,0.0,13151971.947866233,55180531.87831212,80271371.63626296,80271371.63626296,6791184.0 
 03/16  23:00:00,0.0,0.0,6575985.9739331169,55180531.87831212,73691760.40172555,73691760.40172553,6791184.0 
 03/16  24:00:00,0.0,0.0,4802369.727932371,44533202.00181078,58551584.40070834,58551584.40070834,6791184.0 
 03/17  01:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/17  02:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/17  03:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/17  04:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/17  05:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/17  06:00:00,1094249.760714361,149643828.8856043,10829279.40873432,55180531.87831212,125903883.59521365,125903883.59521365,6791184.0 
 03/17  07:00:00,18112381.082812784,115934886.42108569,39455915.84359869,95796493.41677365,240831023.8130126,240831023.8130126,6791184.0 
 03/17  08:00:00,4310280.788432686,169029536.511392,118367747.53079611,204227663.7591693,378756096.1320964,378756096.1320964,6791184.0 
 03/17  09:00:00,2720211.0010983159,168834591.87735177,118367747.53079611,174055806.61631219,345555797.4123375,345555797.41233757,6791184.0 
 03/17  10:00:00,1727357.0933083569,168808290.85286588,112197669.14960815,167093070.35257594,332530343.2380038,332530343.23800376,11860587.882062993 
 03/17  11:00:00,1280295.1531374194,176343898.9566723,112197669.14960815,174055806.61631219,343143054.92415806,343143054.9241581,25594531.086285414 
 03/17  12:00:00,4149411.7230328789,174123034.5710932,105376799.00877156,177667514.30607478,354912101.2046712,354912101.20467117,31492240.67505184 
 03/17  13:00:00,37314.06608279285,184718033.19657273,103783194.59064785,179858086.8360924,349414792.43713739,349414792.43713739,31433512.312481457 
 03/17  14:00:00,0.0,180938665.85322757,103970227.60546223,167093070.35257594,339060281.4977001,339060281.4977001,20281113.859157005 
 03/17  15:00:00,0.0,183759387.8401908,109112629.95901419,167093070.35257594,349316773.78319397,349316773.7831939,15725255.33122172 
 03/17  16:00:00,0.0,192805172.83757726,112197669.14960815,177537174.74818034,371384386.395287,371384386.395287,25559529.48963858 
 03/17  17:00:00,578227.6913162785,178160311.6527091,64045949.07789007,140923939.57316489,299519624.1106737,299519624.1106737,15446620.996451486 
 03/17  18:00:00,0.0,161380815.28967644,39455915.84359869,69106004.40578464,209777264.5694719,209777264.56947194,11024492.650862012 
 03/17  19:00:00,0.0,154589104.41656686,39455915.84359869,59822356.05413629,215820683.4599722,215820683.45997227,10918090.253599577 
 03/17  20:00:00,0.0,148649175.82227273,26303943.895732467,59822356.05413629,216315992.6411627,216315992.64116273,6791184.0 
 03/17  21:00:00,0.0,143103285.5122826,26303943.895732467,55180531.87831212,216481488.19190455,216481488.19190458,6791184.0 
 03/17  22:00:00,0.0,0.0,13151971.947866233,55180531.87831212,80271371.63626296,80271371.63626294,6791184.0 
 03/17  23:00:00,0.0,0.0,6575985.9739331169,55180531.87831212,73691760.40172555,73691760.40172553,6791184.0 
 03/17  24:00:00,0.0,0.0,4802369.727932371,44533202.00181078,58551584.40070834,58551584.40070834,6791184.0 
 03/18  01:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/18  02:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/18  03:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/18  04:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/18  05:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/18  06:00:00,415600.97738194736,178263032.24005554,10829279.40873432,55180531.87831212,207266950.01351566,207266950.01351563,6791184.0 
 03/18  07:00:00,1992899.1028670616,145331724.6907754,13151971.947866233,73747828.58160882,256679080.18199034,256679080.18199039,6791184.0 
 03/18  08:00:00,0.0,155953475.6499178,35346720.49456791,85222049.46327476,271550492.94651797,271550492.946518,6791184.0 
 03/18  09:00:00,0.0,165595420.30093105,31482927.508402639,93345241.77096707,260909880.53373076,260909880.53373076,6791184.0 
 03/18  10:00:00,0.0,173422991.2851203,31041441.284638365,89863873.63909894,245594598.88299618,245594598.8829962,6791184.0 
 03/18  11:00:00,0.0,181258442.49612678,31041441.284638365,97987065.94679125,239079511.1317378,239079511.13173784,6791184.0 
 03/18  12:00:00,0.0,182830158.99861584,15520720.642319182,72652542.31660003,198362588.97466076,198362588.97466076,6791184.0 
 03/18  13:00:00,0.0,185854977.53928039,15520720.642319182,63368893.96495168,190823021.02411814,190823021.02411814,6791184.0 
 03/18  14:00:00,0.0,186203487.85233868,15520720.642319182,57566613.74517146,193116279.73901279,193116279.73901279,6791184.0 
 03/18  15:00:00,0.0,183444876.7679456,15520720.642319182,52924789.569347288,203403596.68467344,203403596.68467344,6791184.0 
 03/18  16:00:00,0.0,183850918.1667819,15520720.642319182,54085245.61330333,216721395.10289676,216721395.10289676,6791184.0 
 03/18  17:00:00,0.0,187523555.54508514,5181629.809087234,48348135.17247035,198350050.80636806,198350050.80636806,6791184.0 
 03/18  18:00:00,0.0,0.0,5340004.011394999,41385398.90873409,47437909.343109447,47437909.343109447,6791184.0 
 03/18  19:00:00,0.0,0.0,4676724.764031,33399901.5013581,44202183.512296479,44202183.51229647,6791184.0 
 03/18  20:00:00,0.0,0.0,3861201.791338584,33399901.5013581,48904615.70955594,48904615.70955593,6791184.0 
 03/18  21:00:00,0.0,0.0,3861201.791338584,33399901.5013581,48904615.70955594,48904615.70955593,6791184.0 
 03/18  22:00:00,0.0,0.0,3861201.791338584,33399901.5013581,48904615.70955594,48904615.70955593,6791184.0 
 03/18  23:00:00,0.0,0.0,3861201.791338584,33399901.5013581,48904615.70955594,48904615.70955593,6791184.0 
 03/18  24:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/19  01:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/19  02:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/19  03:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/19  04:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/19  05:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/19  06:00:00,0.0,0.0,5897289.928284483,41385398.90873409,66846578.21787359,66846578.21787359,6791184.0 
 03/19  07:00:00,0.0,0.0,6575985.9739331169,41385398.90873409,58100003.84521675,58100003.84521675,6791184.0 
 03/19  08:00:00,0.0,0.0,5870481.326110572,41385398.90873409,47968668.96040814,47968668.96040814,6791184.0 
 03/19  09:00:00,0.0,0.0,5225526.502100044,41385398.90873409,47323434.58607595,47323434.586075957,6791184.0 
 03/19  10:00:00,0.0,0.0,5173573.547439723,41385398.90873409,47271447.37041931,47271447.37041931,6791184.0 
 03/19  11:00:00,0.0,0.0,5173573.547439723,41385398.90873409,47271447.37041931,47271447.37041931,6791184.0 
 03/19  12:00:00,0.0,0.0,5173573.547439723,41385398.90873409,47271447.37041931,47271447.37041931,6791184.0 
 03/19  13:00:00,0.0,0.0,5173573.547439723,41385398.90873409,47271447.37041931,47271447.37041931,6791184.0 
 03/19  14:00:00,0.0,0.0,5173573.547439723,41385398.90873409,47271447.37041931,47271447.37041931,6791184.0 
 03/19  15:00:00,0.0,0.0,5173573.547439723,41385398.90873409,47271447.37041931,47271447.37041931,6791184.0 
 03/19  16:00:00,0.0,0.0,5173573.547439723,41385398.90873409,47271447.37041931,47271447.37041931,6791184.0 
 03/19  17:00:00,0.0,0.0,5179615.743675357,41385398.90873409,47277489.566654939,47277489.566654939,6791184.0 
 03/19  18:00:00,0.0,0.0,4407047.824845945,33399901.5013581,38414161.51030124,38414161.51030124,6791184.0 
 03/19  19:00:00,0.0,0.0,3861201.791338584,33399901.5013581,43386356.35705496,43386356.357054959,6791184.0 
 03/19  20:00:00,0.0,0.0,3861201.791338584,33399901.5013581,48904615.70955594,48904615.70955593,6791184.0 
 03/19  21:00:00,0.0,0.0,3861201.791338584,33399901.5013581,48904615.70955594,48904615.70955593,6791184.0 
 03/19  22:00:00,0.0,0.0,3861201.791338584,33399901.5013581,48904615.70955594,48904615.70955593,6791184.0 
 03/19  23:00:00,0.0,0.0,3861201.791338584,33399901.5013581,48904615.70955594,48904615.70955593,6791184.0 
 03/19  24:00:00,0.0,0.0,3861201.791338584,33399901.5013581,46359235.70955594,46359235.70955593,6791184.0 
 03/20  01:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/20  02:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/20  03:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/20  04:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/20  05:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/20  06:00:00,245443.5320355784,209814780.44967557,10829279.40873432,55180531.87831212,224502028.52361775,224502028.52361775,6791184.0 
 03/20  07:00:00,0.0,201685107.82695586,39455915.84359869,95796493.41677365,284694213.0871622,284694213.08716216,6791184.0 
 03/20  08:00:00,118467.55176824809,220532881.40523739,109571751.06830237,204227663.7591693,451586071.2033518,451586071.20335188,6791184.0 
 03/20  09:00:00,0.0,220052382.26477108,95769557.39654807,174055806.61631219,403353583.55696448,403353583.5569645,6791184.0 
 03/20  10:00:00,0.0,223626834.09123389,93290340.7710568,167093070.35257594,410574644.12614437,410574644.1261443,6791184.0 
 03/20  11:00:00,0.0,236328770.48006375,93124323.85391507,174055806.61631219,423792214.94240096,423792214.94240096,25821575.704999687 
 03/20  12:00:00,0.0,237423875.5154927,93124323.85391507,177667514.30607478,412594347.18383488,412594347.18383488,31757086.99872439 
 03/20  13:00:00,0.0,260404474.7725871,93124323.85391507,179858086.8360924,412852233.8669642,412852233.8669642,31418409.752698207 
 03/20  14:00:00,0.0,261257341.67331106,93124323.85391507,167093070.35257594,386327359.774529,386327359.774529,15757062.815271026 
 03/20  15:00:00,0.0,265177103.05437315,93124323.85391507,167093070.35257594,379888433.2268355,379888433.2268355,20178696.082503953 
 03/20  16:00:00,0.0,272821192.23239168,93124323.85391507,177537174.74818034,386992905.88179758,386992905.88179758,25547726.459202697 
 03/20  17:00:00,0.0,233048380.5120955,52139696.71317959,140923939.57316489,287770183.86256065,287770183.8625607,15464324.570693003 
 03/20  18:00:00,0.0,209338857.48407967,32766260.94999008,69106004.40578464,181666404.23331023,181666404.23331023,11020613.771855202 
 03/20  19:00:00,0.0,197178510.8671745,38941742.64516637,59822356.05413629,173685898.0444083,173685898.0444083,6791184.0 
 03/20  20:00:00,0.0,187524186.40159358,26303943.895732467,59822356.05413629,163240119.63637436,163240119.63637436,10948094.955149789 
 03/20  21:00:00,0.0,182781989.46032913,26303943.895732467,55180531.87831212,162570571.59410114,162570571.59410114,6791184.0 
 03/20  22:00:00,0.0,0.0,13151971.947866233,55180531.87831212,80271371.63626296,80271371.63626296,6791184.0 
 03/20  23:00:00,0.0,0.0,6575985.9739331169,55180531.87831212,73691760.40172555,73691760.40172553,6791184.0 
 03/20  24:00:00,0.0,0.0,4802369.727932371,44533202.00181078,58551584.40070834,58551584.40070834,6791184.0 
 03/21  01:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/21  02:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/21  03:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/21  04:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/21  05:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/21  06:00:00,1036033.0609856271,162696558.53759647,10829279.40873432,55180531.87831212,100894401.17685513,100894401.1768551,6791184.0 
 03/21  07:00:00,15329887.81162881,147531627.94077308,39455915.84359869,95796493.41677365,185788612.34744788,185788612.34744788,6791184.0 
 03/21  08:00:00,2482885.596468105,186224098.02563817,118367747.53079611,204227663.7591693,340106127.24810019,340106127.24810019,6791184.0 
 03/21  09:00:00,2323764.9028694557,184374669.57072938,116825227.93549912,174055806.61631219,305355121.87622579,305355121.8762258,6791184.0 
 03/21  10:00:00,1748172.0221995987,183655367.56104587,112197669.14960815,167093070.35257594,293712581.6134606,293712581.6134606,15962322.168767039 
 03/21  11:00:00,1347019.5847691387,189593339.9918778,110655149.55431117,174055806.61631219,299795779.4842774,299795779.4842775,25808527.14080313 
 03/21  12:00:00,14569348.594970124,179657298.28545479,103970227.6054622,177667514.30607478,314513476.4142523,314513476.4142522,28452641.480633238 
 03/21  13:00:00,959019.7764361128,194553174.16491858,103783194.59064785,179858086.8360924,299665926.6267631,299665926.62676307,29749454.93584276 
 03/21  14:00:00,932981.4809138319,189151417.31964428,103783194.59064785,167093070.35257594,286421267.67144,286421267.67144009,20265481.075979674 
 03/21  15:00:00,937216.336552897,189801333.0363347,106634945.28964538,167093070.35257594,289452097.04174378,289452097.0417437,15715283.842644426 
 03/21  16:00:00,1347221.1233582427,196527875.9178048,112197669.14960815,177537174.74818034,306355043.9760804,306355043.9760804,25544559.321404514 
 03/21  17:00:00,15519227.017728106,164864332.21035943,63188993.747169528,140923939.57316489,237024737.35490866,237024737.35490868,15454173.421386676 
 03/21  18:00:00,2569071.0754989974,135436427.0878142,39455915.84359869,69106004.40578464,130780089.83121687,130780089.83121687,11037000.05803052 
 03/21  19:00:00,671407.4498728842,127051440.6225619,39455915.84359869,59822356.05413629,126073792.2580609,126073792.25806087,10927202.066636503 
 03/21  20:00:00,1438426.2460137478,120158126.46112168,26303943.895732467,59822356.05413629,122730509.61662771,122730509.61662771,6791184.0 
 03/21  21:00:00,1696364.7757266402,116039989.16338273,26303943.895732467,55180531.87831212,120469403.47384107,120469403.47384107,6791184.0 
 03/21  22:00:00,0.0,0.0,13151971.947866233,55180531.87831212,80271371.63626296,80271371.63626296,6791184.0 
 03/21  23:00:00,0.0,0.0,6575985.9739331169,55180531.87831212,73691760.40172555,73691760.40172553,6791184.0 
 03/21  24:00:00,0.0,0.0,4802369.727932371,44533202.00181078,58551584.40070834,58551584.40070834,6791184.0 
 03/22  01:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/22  02:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/22  03:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/22  04:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/22  05:00:00,0.0,0.0,3861201.791338584,44533202.00181078,57609860.11373618,57609860.11373618,6791184.0 
 03/22  06:00:00,3882336.602615406,120221441.41431111,10829279.40873432,55180531.87831212,101245700.91461134,101245700.91461133,6791184.0 
 03/22  07:00:00,27368965.618611918,95990777.77060217,39455915.84359869,95796493.41677365,210811885.16152875,210811885.16152875,6791184.0 
 03/22  08:00:00,9895365.13609554,148131747.99427218,115083380.83427823,204227663.7591693,344536958.62939277,344536958.6293927,6791184.0 
 03/22  09:00:00,4615833.401698686,146417901.55946709,100290404.6089266,174055806.61631219,292343273.54960909,292343273.54960909,6791184.0 
 03/22  10:00:00,3290250.8567904436,148800818.26225723,95353475.81783462,167093070.35257594,277950314.8787705,277950314.8787705,15957944.144657586 
 03/22  11:00:00,2361691.484193442,158330103.9190005,93498385.12746936,174055806.61631219,282469364.0985925,282469364.0985925,25807509.030770273 
 03/22  12:00:00,15948693.061205574,159189217.81211327,93124323.85391507,177667514.30607478,303890182.74240937,303890182.74240937,31768243.72781717 
 03/22  13:00:00,1209187.7185527909,169721388.4218467,93124323.85391507,179858086.8360924,288986364.889126,288986364.889126,26472503.26095272 
 03/22  14:00:00,84184.93639051885,168617522.7563397,93124323.85391507,167093070.35257594,274647853.79421427,274647853.7942143,20261860.134116774 
 03/22  15:00:00,0.0,172811135.4108216,93124323.85391507,167093070.35257594,274703689.2288834,274703689.2288834,20183660.316519027 
 03/22  16:00:00,0.0,182005590.53916929,94059500.818173,177537174.74818034,286782636.3669603,286782636.3669603,20848914.437332989 
 03/22  17:00:00,14718510.525512327,165312616.61808718,53349511.41475682,140923939.57316489,226290610.6135949,226290610.61359496,15494177.11016981 
 03/22  18:00:00,388286.08402121669,138680172.86884267,34993707.37156021,69106004.40578464,125475351.8301417,125475351.8301417,11044337.263796868 
 03/22  19:00:00,0.0,128863117.90827978,39356258.62810824,59822356.05413629,128442026.35925666,128442026.35925666,10925027.230391119 
 03/22  20:00:00,363306.0741557376,115935256.82286875,26303943.895732467,59822356.05413629,128300616.6681591,128300616.66815908,10971610.6941459 
 03/22  21:00:00,1474758.7366375447,106786920.36445728,26303943.895732467,55180531.87831212,128954579.80901224,128954579.80901224,6791184.0 
 03/22  22:00:00,0.0,0.0,13151971.947866233,55180531.87831212,80271371.63626296,80271371.63626296,6791184.0 
