Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/21  02:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  03:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  04:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  05:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  06:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  07:00:00,113127312.17707245,22115662.454734,0.0,0.0,177051307.62341965,177051307.62341965,6791184.0 
 01/21  08:00:00,273172271.4488605,1719327.6952736215,0.0,0.0,354783622.54219278,354783622.54219278,67566080.00726174 
 01/21  09:00:00,210318715.84713013,0.0,0.0,0.0,298868507.324433,298868507.324433,63592972.77183251 
 01/21  10:00:00,192271485.48608724,0.0,0.0,0.0,282809903.0466304,282809903.0466304,62650641.26924466 
 01/21  11:00:00,182609289.00582467,0.0,0.0,0.0,274207488.9882423,274207488.9882423,62139193.69856902 
 01/21  12:00:00,175615915.07794617,0.0,0.0,0.0,267908743.00828523,267908743.00828523,61845086.00623604 
 01/21  13:00:00,170120796.99847458,0.0,0.0,0.0,262945876.86327306,262945876.86327309,61640003.8343969 
 01/21  14:00:00,165491111.8829128,0.0,0.0,0.0,258762615.15187297,258762615.151873,61475420.27604934 
 01/21  15:00:00,161482799.25893239,0.0,0.0,0.0,255152113.9300769,255152113.93007688,61335417.6228491 
 01/21  16:00:00,157840070.01459898,0.0,0.0,0.0,251880451.346223,251880451.346223,61206001.3131435 
 01/21  17:00:00,154400568.14645422,0.0,0.0,0.0,248785740.38916559,248785740.38916556,61087794.510177019 
 01/21  18:00:00,151595900.16780574,0.0,0.0,0.0,246303433.6974037,246303433.6974037,60969683.05010834 
 01/21  19:00:00,122487279.8373349,2533332.835004333,0.0,0.0,196533598.89911313,196533598.89911313,6791184.0 
 01/21  20:00:00,116864600.42109269,1720257.1574799317,0.0,0.0,194011109.16893883,194011109.16893877,6791184.0 
 01/21  21:00:00,74456002.44182572,1168157.9579248473,0.0,0.0,130448233.7480569,130448233.74805692,6791184.0 
 01/21  22:00:00,118563281.12363568,2313901.3916044917,0.0,0.0,196611330.15135477,196611330.15135474,6791184.0 
 01/21  23:00:00,2917522.7109824225,20689053.147629415,0.0,0.0,14052034.246372013,14052034.246372013,6791184.0 
 01/21  24:00:00,0.0,0.0,0.0,0.0,11497495.609756098,11497495.609756098,6791184.0 
 01/21  01:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  02:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  03:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  04:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  05:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  06:00:00,0.0,0.0,0.0,0.0,8952115.609756098,8952115.609756098,6791184.0 
 01/21  07:00:00,60210987.22107291,30930286.25413217,0.0,0.0,130050912.48939637,130050912.48939637,6791184.0 
 01/21  08:00:00,221422703.79671366,2248898.410530809,0.0,0.0,314940598.4206568,314940598.4206568,6791184.0 
 01/21  09:00:00,165209445.4054723,0.0,0.0,0.0,265664529.5558141,265664529.5558141,6791184.0 
 01/21  10:00:00,150628572.00659529,0.0,0.0,0.0,252749132.0167899,252749132.0167899,6791184.0 
 01/21  11:00:00,142981907.0639159,0.0,0.0,0.0,245981936.73528744,245981936.73528744,6791184.0 
 01/21  12:00:00,137494467.75349713,0.0,0.0,0.0,241058982.9873469,241058982.9873469,6791184.0 
 01/21  13:00:00,133323400.81026164,0.0,0.0,0.0,237310226.34621764,237310226.34621764,6791184.0 
