Date/Time,Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  19:00:00,3.0,0.0,101472955.13806676,4317748.248284989,0.0,0.0 
 01/21  20:00:00,3.0,0.0,78018932.07175753,52512.879613131736,0.0,0.0 
 01/21  21:00:00,3.0,0.0,54641798.71822177,62476.663251537684,0.0,0.0 
 01/21  22:00:00,3.0,0.0,86850986.97613797,130590.79786521377,0.0,0.0 
 01/21  23:00:00,3.0,0.0,2452998.095665002,23060992.45779364,0.0,0.0 
 01/21  24:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  01:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  02:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  03:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  04:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  05:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  06:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  07:00:00,3.0,0.0,55661161.33714972,32549133.958144245,0.0,0.0 
 01/21  08:00:00,3.0,0.0,214479395.498939,2288820.1616923979,0.0,0.0 
 01/21  09:00:00,3.0,0.0,159147053.30596597,0.0,0.0,0.0 
 01/21  10:00:00,3.0,0.0,145025362.62465985,0.0,0.0,0.0 
 01/21  11:00:00,3.0,0.0,137647516.91521175,0.0,0.0,0.0 
 01/21  12:00:00,3.0,0.0,132358437.07721448,0.0,0.0,0.0 
 01/21  13:00:00,3.0,0.0,128350276.40331988,0.0,0.0,0.0 
 01/21  14:00:00,3.0,0.0,124939455.91772111,0.0,0.0,0.0 
 01/21  15:00:00,3.0,0.0,122000968.32368094,0.0,0.0,0.0 
 01/21  16:00:00,3.0,0.0,119331799.92365949,0.0,0.0,0.0 
 01/21  17:00:00,3.0,0.0,116766606.0822335,0.0,0.0,0.0 
 01/21  18:00:00,3.0,0.0,114747248.31839609,0.0,0.0,0.0 
 01/21  19:00:00,3.0,0.0,98261354.40810395,4315213.66233346,0.0,0.0 
 01/21  20:00:00,3.0,0.0,74732281.2768623,51578.54994123227,0.0,0.0 
 01/21  21:00:00,3.0,0.0,52417041.21666105,61397.69984181985,0.0,0.0 
 01/21  22:00:00,3.0,0.0,83305948.48304151,127821.81995729843,0.0,0.0 
 01/21  23:00:00,3.0,0.0,2336114.88337633,23642552.575083708,0.0,0.0 
 01/21  24:00:00,3.0,0.0,0.0,0.0,0.0,0.0 
 01/21  01:00:00,7.6,0.0,0.0,0.0,0.0,0.0 
 01/21  02:00:00,7.6,0.0,0.0,0.0,0.0,0.0 
 01/21  03:00:00,7.6,0.0,0.0,0.0,0.0,0.0 
 01/21  04:00:00,7.6,0.0,0.0,0.0,0.0,0.0 
 01/21  05:00:00,7.6,0.0,0.0,0.0,0.0,0.0 
