Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 07/21  23:00:00,12224550.453190379,0.0,87973618.99078352,14265108.0 
 07/21  24:00:00,11104672.009119135,0.0,87973618.99078352,14265108.0 
 07/21  01:00:00,7331192.906826731,0.0,87973618.99078352,14265108.0 
 07/21  02:00:00,6606944.386915134,0.0,87973618.99078352,14265108.0 
 07/21  03:00:00,6113080.7308136499,0.0,87973618.99078352,14265108.0 
 07/21  04:00:00,5666830.091052393,0.0,87973618.99078352,14265108.0 
 07/21  05:00:00,5322223.495146003,0.0,87973618.99078352,14265108.0 
 07/21  06:00:00,5392540.322433395,0.0,87798374.58425924,14265108.0 
 07/21  07:00:00,5858633.658792086,0.0,77174091.88439341,14265108.0 
 07/21  08:00:00,6251014.123024556,5175868.722200168,61567566.655953917,14265108.0 
 07/21  09:00:00,8178800.151926012,13716407.684880058,52253475.15899962,36405432.0 
 07/21  10:00:00,10355682.590830658,11519826.266953832,46820255.119036469,36405432.0 
 07/21  11:00:00,10104776.918473252,11919403.97516106,45207477.43049181,36405432.0 
 07/21  12:00:00,4999266.185741932,12270195.006130482,45026190.11339775,36405432.0 
 07/21  13:00:00,1577325.5602059316,12348746.26658234,45026190.11339775,14265108.0 
 07/21  14:00:00,26842.824312391895,14135268.581326044,44784473.690605659,36405432.0 
 07/21  15:00:00,100131.32221271917,15057575.326316502,45690010.36391195,36405432.0 
 07/21  16:00:00,2111391.623252174,15233279.055503868,49182794.67525414,36405432.0 
 07/21  17:00:00,387259.0744820514,16240394.717400244,62377757.62932496,36405432.0 
 07/21  18:00:00,5531253.378271456,13476277.284957264,71562486.74439627,14265108.0 
 07/21  19:00:00,14508751.063631982,0.0,86240203.56941432,14265108.0 
 07/21  20:00:00,13261354.184174262,0.0,87973618.99078352,14265108.0 
 07/21  21:00:00,12042580.276595362,0.0,87973618.99078352,14265108.0 
 07/21  22:00:00,10656228.94683562,0.0,87973618.99078352,14265108.0 
 07/21  23:00:00,9446617.999830395,0.0,87973618.99078352,14265108.0 
 07/21  24:00:00,8343981.4188573569,0.0,87973618.99078352,14265108.0 
 07/21  01:00:00,4781123.254480103,0.0,87973618.99078352,14265108.0 
 07/21  02:00:00,4065788.998523272,0.0,87973618.99078352,14265108.0 
 07/21  03:00:00,3578652.9238181917,0.0,87973618.99078352,14265108.0 
 07/21  04:00:00,3137682.3471110698,0.0,87973618.99078352,14265108.0 
 07/21  05:00:00,2797461.025982499,0.0,87973618.99078352,14265108.0 
 07/21  06:00:00,2859129.5066322677,0.0,87798374.58425924,14265108.0 
 07/21  07:00:00,3322564.2896795759,0.0,77174091.88439341,14265108.0 
 07/21  08:00:00,4199408.066633418,4235914.08626056,61567566.655953917,14265108.0 
 07/21  09:00:00,6170581.925744682,13155494.920910752,52253475.15899962,36405432.0 
 07/21  10:00:00,8304041.273342371,11077549.023715903,46820255.119036469,36405432.0 
 07/21  11:00:00,10073200.788968962,11489927.583086197,45207477.43049181,36405432.0 
 07/21  12:00:00,7456742.53723234,11877836.195531514,45026190.11339775,36405432.0 
 07/21  13:00:00,3730996.2080880056,11993385.560481575,45026190.11339775,14265108.0 
 07/21  14:00:00,1679047.0540206764,13407130.101200676,44784473.690605659,36405432.0 
 07/21  15:00:00,1717394.7453911754,14433246.378298125,45690010.36391195,36405432.0 
 07/21  16:00:00,3848641.566472699,14910194.706565332,49182794.67525414,36405432.0 
 07/21  17:00:00,2389087.424417954,14834195.280891337,60696046.664595369,36405432.0 
 07/21  18:00:00,8287086.444841156,13137461.981016698,71562486.74439627,14265108.0 
 07/21  19:00:00,12130848.176961296,0.0,86240203.56941432,14265108.0 
 07/21  20:00:00,10606948.286995218,0.0,87973618.99078352,14265108.0 
 07/21  21:00:00,9415463.419898984,0.0,87973618.99078352,14265108.0 
 07/21  22:00:00,8057081.828894256,0.0,87973618.99078352,14265108.0 
 07/21  23:00:00,6867826.037470885,0.0,87973618.99078352,14265108.0 
 07/21  24:00:00,5780533.984509403,0.0,87973618.99078352,14265108.0 
 07/21  01:00:00,2881400.9700590844,0.0,87973618.99078352,14265108.0 
 07/21  02:00:00,2172413.7992696489,0.0,87973618.99078352,14265108.0 
 07/21  03:00:00,1690326.3213417168,0.0,87973618.99078352,14265108.0 
 07/21  04:00:00,1253834.0118899639,0.0,87973618.99078352,14265108.0 
 07/21  05:00:00,917895.5208956907,0.0,87973618.99078352,14265108.0 
 07/21  06:00:00,981068.3397905885,0.0,87798374.58425924,14265108.0 
 07/21  07:00:00,1344219.150543407,0.0,75127345.02555853,14265108.0 
 07/21  08:00:00,2564281.6104945077,3580190.239907605,59756493.309341337,14265108.0 
 07/21  09:00:00,4797603.609521321,12161327.90031784,51477300.867576319,36405432.0 
 07/21  10:00:00,6849080.933166519,10727565.060738486,46820255.119036469,36405432.0 
 07/21  11:00:00,8624554.65457422,11142203.412718766,45026190.11339775,36405432.0 
 07/21  12:00:00,8635455.659863035,11629895.280088,45026190.11339775,36405432.0 
 07/21  13:00:00,5102835.587035568,11745440.744822678,44965761.00769973,14265108.0 
 07/21  14:00:00,2891692.9687529106,13197046.353825484,44784473.690605659,36405432.0 
 07/21  15:00:00,2822245.3302540497,14233222.494354994,44784473.690605659,36405432.0 
 07/21  16:00:00,4821407.619514414,14719225.043018576,49182794.67525414,36405432.0 
 07/21  17:00:00,4008539.77713546,14621712.822157009,59790509.99128908,36405432.0 
 07/21  18:00:00,8884233.113969177,12937260.00380132,71562486.74439627,14265108.0 
 07/21  19:00:00,10175069.502233696,0.0,86240203.56941432,14265108.0 
 07/21  20:00:00,8697645.887380518,0.0,87973618.99078352,14265108.0 
 07/21  21:00:00,7508390.54731738,0.0,87973618.99078352,14265108.0 
 07/21  22:00:00,6153503.250143699,0.0,87973618.99078352,14265108.0 
 07/21  23:00:00,4965179.240470344,0.0,87973618.99078352,14265108.0 
 07/21  24:00:00,3876999.2274046179,0.0,87973618.99078352,14265108.0 
 07/21  01:00:00,904132.6780763688,0.0,87973618.99078352,14265108.0 
 07/21  02:00:00,207606.57448370639,4921.132938976734,87973618.99078352,14265108.0 
 07/21  03:00:00,0.0,272954.1746382327,87973618.99078352,14265108.0 
 07/21  04:00:00,0.0,704124.452571061,87973618.99078352,14265108.0 
 07/21  05:00:00,0.0,1035698.6181973807,87973618.99078352,14265108.0 
 07/21  06:00:00,0.0,971987.5638995224,87798374.58425924,14265108.0 
 07/21  07:00:00,16720.324514254935,700052.8687897264,76032881.69886482,14265108.0 
 07/21  08:00:00,1052294.0752476026,2995765.4123613375,60662029.98264762,14265108.0 
 07/21  09:00:00,3261554.658625575,11783086.134875093,51477300.867576319,36405432.0 
 07/21  10:00:00,5231591.327315892,10431592.362306232,46820255.119036469,36405432.0 
 07/21  11:00:00,6989563.383964073,10801851.620201104,45026190.11339775,36405432.0 
 07/21  12:00:00,8193763.925641094,11292651.883196723,45026190.11339775,36405432.0 
 07/21  13:00:00,7130239.185137715,11426456.672488226,44965761.00769973,14265108.0 
 07/21  14:00:00,4694845.944929689,12899548.622310717,44784473.690605659,36405432.0 
 07/21  15:00:00,4466975.043328843,13948170.590250684,45690010.36391195,36405432.0 
 07/21  16:00:00,6292357.636960863,14445911.868578917,49182794.67525414,36405432.0 
 07/21  17:00:00,6309981.527163589,14326428.22241206,59790509.99128908,36405432.0 
 07/21  18:00:00,7632803.5110510759,12651029.807356982,71562486.74439627,14265108.0 
 07/21  19:00:00,8134337.220124926,0.0,86240203.56941432,14265108.0 
 07/21  20:00:00,6526228.317951719,0.0,87973618.99078352,14265108.0 
 07/21  21:00:00,5465421.086641702,0.0,87973618.99078352,14265108.0 
 07/21  22:00:00,4134798.5677831249,0.0,87973618.99078352,14265108.0 
 07/21  23:00:00,2962955.2979180349,0.0,87973618.99078352,14265108.0 
 07/21  24:00:00,1889367.440187809,0.0,87973618.99078352,14265108.0 
 07/21  01:00:00,0.0,702555.0892145727,87973618.99078352,14265108.0 
 07/21  02:00:00,0.0,1397009.022416656,87973618.99078352,14265108.0 
